,Country Name,Region,Year,Exports,Tax revenue,FDI outflow,GDP growth,GDS,Imports,Poverty headcount,Unemployment,Resident's Savings,FCE,Income Measure,Education expenditure,Geographic Size,Life expectancy,Population
414,China,Asia,2011,0.117462147,0.093287602,0.226185663,0.76131351,0.977463568,0.082078481,0.126394052,0.156705539,0.870048351,0.022536432,0.116722185,0.344401124,0.573252059,0.745518847,0.969185107
415,China,Asia,2012,0.111718015,0.092319582,0.226495037,0.709286404,0.965491795,0.07260177,0.105328377,0.157798834,0.920848506,0.034508205,0.129247169,0.386464172,0.573252059,0.755070848,0.975783407
416,China,Asia,2013,0.106947907,0.086288938,0.226497782,0.70627701,0.958496934,0.068331099,0.035935564,0.158527697,0.937910157,0.041503066,0.137774817,0.351911592,0.573252059,0.763664344,0.982306031
417,China,Asia,2014,0.101131543,0.082330312,0.227560684,0.695780083,0.94866214,0.063246221,0.026022305,0.159620991,1,0.05133786,0.147368421,0.334100064,0.573252059,0.7724231,0.98851874
418,China,Asia,2015,0.089618465,0.077117568,0.228593269,0.683924781,0.930814452,0.040973,0.014869888,0.160349854,0.948200058,0.069185548,0.151898734,0.318504308,0.573252059,0.781016596,0.994284596
419,China,Asia,2016,0.080168153,0.072728873,0.229494401,0.677986359,0.918057072,0.035548515,0.009913259,0.157069971,0.921178333,0.081942928,0.159626915,0.318812318,0.573251998,0.788982106,1
421,Colombia,South America,2008,0.072292707,0.140261566,0.22780986,0.568038198,0.623562088,0.060960629,0.136307311,0.401603499,0.134385506,0.376437912,0.113257828,0.368986068,0.067729772,0.692371378,0.031354539
422,Colombia,South America,2009,0.063294167,0.134105699,0.228415758,0.501927201,0.610266955,0.045187154,0.118959108,0.430758017,0.1328644,0.389733045,0.114723518,0.419495989,0.067729772,0.707145581,0.031713899
423,Colombia,South America,2010,0.062847465,0.124895453,0.22946106,0.605389899,0.617881138,0.039709649,0.102850062,0.397230321,0.134254436,0.382118862,0.120053298,0.434559058,0.067729772,0.716763686,0.032075844
424,Colombia,South America,2011,0.078524081,0.166945186,0.231005369,0.68104335,0.63945898,0.055101663,0.084262701,0.365889213,0.136983761,0.36054102,0.130046636,0.398011459,0.067729772,0.726249584,0.032431014
425,Colombia,South America,2012,0.07603935,0.143639063,0.224114249,0.587441313,0.625016268,0.053949223,0.083023544,0.353862974,0.136174306,0.374983732,0.135776149,0.405933371,0.067729772,0.735404963,0.032772294
426,Colombia,South America,2013,0.072169055,0.157377205,0.229690132,0.625105868,0.618647263,0.053110271,0.0755886,0.327988338,0.136191861,0.381352737,0.145502998,0.445189739,0.067729772,0.743006902,0.033100597
427,Colombia,South America,2014,0.064416934,0.186363357,0.227167647,0.605524694,0.6115441,0.059568409,0.066914498,0.311588921,0.1361918,0.3884559,0.154163891,0.399180871,0.067729772,0.750146114,0.033417731
